country,gdp,debt_billions,debt,debt_v_gdp
United States,19485394000000,21465,21465000000000,1.1015943532
China,12237700479375,6764,6764000000000,0.5527182179
Japan,4872415104315,11788,11788000000000,2.4193340977
Germany,3693204332230,2438,2438000000000,0.6601313604
India,2650725335364,1851,1851000000000,0.6982994335
United Kingdom,2637866340434,2455,2455000000000,0.9306764192
France,2582501307216,2736,2736000000000,1.0594379923
Brazil,2053594877013,1642,1642000000000,0.7995734789
Italy,1943835376342,2744,2744000000000,1.4116421758
Canada,1647120175449,1540,1540000000000,0.9349651731
Russia,1578417211937,242,242000000000,0.1533181457
South Korea,1530750923149,652,652000000000,0.4259347423
Australia,1323421072479,588,588000000000,0.4443030357
Spain,1314314164402,1386,1386000000000,1.0545423899
Mexico,1150887823404,655,655000000000,0.5691258407
Indonesia,1015420587285,308,308000000000,0.3033225876
Turkey,851549299635,233,233000000000,0.2736189204
Netherlands,830572618850,479,479000000000,0.5767105598
Saudi Arabia,686738400000,149,149000000000,0.2169676255
Switzerland,678965423322,286,286000000000,0.4212291085
Argentina,637430331479,447,447000000000,0.7012531063
Sweden,535607385506,214,214000000000,0.399546395
Poland,526465839003,286,286000000000,0.543245124
Belgium,494763551891,543,543000000000,1.0974939401
Thailand,455302682986,213,213000000000,0.4678206564
